hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|PA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
St Elizabeth Edgewood,7/1/2024,2.2.0,St Elizabeth Edgewood|St Elizabeth Covington|St Elizabeth Dearborn|St Elizabeth Florence|St Elizabeth Ft Thomas|St Elizabeth Grant,"1 Medical Village Drive, Edgewood, KY 41017|1500 James Simpson Jr Way, Covington, KY 41011|600 Wilson Creek Rd, Lawrenceburg, IN 47025|4900 Houston Rd, Florence, KY 41042|85 N Grand Ave, Fort Thomas, KY 41075|238 Barnes Rd, Williamstown, KY 41097",PA DOH 163301,TRUE,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes
FNA BX W/O IMG GDN EA ADDL,361,RC,10004,CPT,,,,,facility,inpatient,,,400,320,Aetna,EBR ASO,,140,,,,70.4,340,percent of total billed charges,
FNA BX W/O IMG GDN EA ADDL,361,RC,10004,CPT,,,,,facility,outpatient,,,400,320,Aetna,EBR ASO,,140,,,,31.72,340,percent of total billed charges,
EXTRACTION W/US GUI 1ST LES,361,RC,10005,CPT,,,,,facility,inpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,283.36,1368.5,percent of total billed charges,
EXTRACTION W/US GUI 1ST LES,361,RC,10005,CPT,,,,,facility,outpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,65.76,1368.5,percent of total billed charges,
FNA BX W/US GDN 1ST LES,361,RC,10005,CPT,,,,,facility,inpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,283.36,1368.5,percent of total billed charges,
FNA BX W/US GDN 1ST LES,361,RC,10005,CPT,,,,,facility,outpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,65.76,1368.5,percent of total billed charges,
FNA BX W/US GDN EA ADDL,361,RC,10006,CPT,,,,,facility,inpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,283.36,1368.5,percent of total billed charges,
FNA BX W/US GDN EA ADDL,361,RC,10006,CPT,,,,,facility,outpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,36.46,1368.5,percent of total billed charges,
FNA BX W/FLUOR GDN 1ST LES,361,RC,10007,CPT,,,,,facility,inpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,283.36,1368.5,percent of total billed charges,
FNA BX W/FLUOR GDN 1ST LES,361,RC,10007,CPT,,,,,facility,outpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,84.41,1368.5,percent of total billed charges,
FNA BX W/CT GDN 1ST LES,361,RC,10009,CPT,,,,,facility,inpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,283.36,1368.5,percent of total billed charges,
FNA BX W/CT GDN 1ST LES,361,RC,10009,CPT,,,,,facility,outpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,102.33,1725.71,percent of total billed charges,
FNA BX W/CT GDN EA ADDL,361,RC,10010,CPT,,,,,facility,inpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,283.36,1368.5,percent of total billed charges,
FNA BX W/CT GDN EA ADDL,361,RC,10010,CPT,,,,,facility,outpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,74.79,1368.5,percent of total billed charges,
FNA BX W/MR GDN 1ST LES,361,RC,10011,CPT,,,,,facility,inpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,283.36,1368.5,percent of total billed charges,
FNA BX W/MR GDN 1ST LES,361,RC,10011,CPT,,,,,facility,outpatient,,,1610,1288,Aetna,EBR ASO,,563.5,,,,75.26,1368.5,percent of total billed charges,
FNA BIOPSY W/O IMA GDE 1ST LES,361,RC,10021,CPT,,,,,facility,inpatient,,,2079,1663.2,Aetna,EBR ASO,,727.65,,,,365.9,1767.15,percent of total billed charges,
FNA BIOPSY W/O IMA GDE 1ST LES,361,RC,10021,CPT,,,,,facility,outpatient,,,2079,1663.2,Aetna,EBR ASO,,727.65,,,,68.46,1767.15,percent of total billed charges,
IMG GUID DRN SOFT TIS CTH PERC,361,RC,10030,CPT,,,,,facility,inpatient,,,2602,2081.6,Aetna,EBR ASO,,910.7,,,,457.95,2211.7,percent of total billed charges,
IMG GUID DRN SOFT TIS CTH PERC,361,RC,10030,CPT,,,,,facility,outpatient,,,2602,2081.6,Aetna,EBR ASO,,910.7,,,,137.81,3398.15,percent of total billed charges,
ACNE SURGERY,361,RC,10040,CPT,,,,,facility,inpatient,,,422,337.6,Aetna,EBR ASO,,147.7,,,,74.27,358.7,percent of total billed charges,
ACNE SURGERY,361,RC,10040,CPT,,,,,facility,outpatient,,,422,337.6,Aetna,EBR ASO,,147.7,,,,18.39,358.7,percent of total billed charges,
ID SIMPLE ABSCESS,361,RC,10060,CPT,,,,,facility,inpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,222.64,1075.25,percent of total billed charges,
ID SIMPLE ABSCESS,361,RC,10060,CPT,,,,,facility,outpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,25.85,1075.25,percent of total billed charges,
ID SIMPLE ABSCESS,361,RC,10060,CPT,,,,,facility,inpatient,,,1265,1012,Aetna,EBR ASO,PO,442.75,,,,222.64,1075.25,percent of total billed charges,
ID SIMPLE ABSCESS,361,RC,10060,CPT,,,,,facility,outpatient,,,1265,1012,Aetna,EBR ASO,PO,442.75,,,,25.85,1075.25,percent of total billed charges,
ID COMPL ABSCESS,361,RC,10061,CPT,,,,,facility,inpatient,,,3240,2592,Aetna,EBR ASO,,1134,,,,570.24,2754,percent of total billed charges,
ID COMPL ABSCESS,361,RC,10061,CPT,,,,,facility,outpatient,,,3240,2592,Aetna,EBR ASO,,1134,,,,57.75,2754,percent of total billed charges,
ID PILONIDAL CYST,361,RC,10080,CPT,,,,,facility,inpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,222.64,1075.25,percent of total billed charges,
ID PILONIDAL CYST,361,RC,10080,CPT,,,,,facility,outpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,39.6,1075.25,percent of total billed charges,
SUBCUT FB REMOVAL SIMPLE,361,RC,10120,CPT,,,,,facility,inpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,222.64,1075.25,percent of total billed charges,
SUBCUT FB REMOVAL SIMPLE,361,RC,10120,CPT,,,,,facility,outpatient,,,1265,1012,Aetna,EBR ASO,,442.75,,,,33.55,1075.25,percent of total billed charges,
SUBCUT FB REMOVAL COMPL,361,RC,10121,CPT,,,,,facility,inpatient,,,7463,5970.4,Aetna,EBR ASO,,2612.05,,,,1313.49,6343.55,percent of total billed charges,
SUBCUT FB REMOVAL COMPL,361,RC,10121,CPT,,,,,facility,outpatient,,,7463,5970.4,Aetna,EBR ASO,,2612.05,,,,71.5,6343.55,percent of total billed charges,
I & D HEMATOMA SEROMA OR FLUID,361,RC,10140,CPT,,,,,facility,inpatient,,,2100,1680,Aetna,EBR ASO,,735,,,,369.6,1785,percent of total billed charges,
I & D HEMATOMA SEROMA OR FLUID,361,RC,10140,CPT,,,,,facility,outpatient,,,2100,1680,Aetna,EBR ASO,,735,,,,25.85,1785,percent of total billed charges,
ASPIRATION HEMATOMA,361,RC,10160,CPT,,,,,facility,inpatient,,,2067,1653.6,Aetna,EBR ASO,,723.45,,,,363.79,1756.95,percent of total billed charges,
ASPIRATION HEMATOMA,361,RC,10160,CPT,,,,,facility,outpatient,,,2067,1653.6,Aetna,EBR ASO,,723.45,,,,26.4,1756.95,percent of total billed charges,
DRAINAGE FLUID COLLECTION,361,RC,10160,CPT,,,,,facility,inpatient,,,2067,1653.6,Aetna,EBR ASO,,723.45,,,,363.79,1756.95,percent of total billed charges,
DRAINAGE FLUID COLLECTION,361,RC,10160,CPT,,,,,facility,outpatient,,,2067,1653.6,Aetna,EBR ASO,,723.45,,,,26.4,1756.95,percent of total billed charges,
PUNC ASP ABS HEMATOM BULLA CYS,361,RC,10160,CPT,,,,,facility,inpatient,,,2067,1653.6,Aetna,EBR ASO,,723.45,,,,363.79,1756.95,percent of total billed charges,
