hospital_name,last_updated_on,version,hospital_location,hospital_address,financial_aid_policy,license_number|IL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,
Carle BroMenn Medical Center,2/4/2025,2.0.0,Carle BroMenn Medical Center,"1304 Franklin Ave, Normal, IL 61761-3558",,0006189,TRUE,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,modifiers,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|methodology,standard_charge|min,standard_charge|max,additional_generic_notes,additional_payer_notes
INSULIN ASPART (U-100) 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN,55243,CDM,J1815,HCPCS,0636,RC,73070010310,NDC,facility,inpatient,5,UN,,19.84,14.88,Aetna Better Health (Formerly Illinicare),Managed Medicaid,,,Service is bundled into APR-DRG payment where appropriate,999999999,other,0.87,12.9,Service is bundled into APR-DRG payment where appropriate,
TERBINAFINE HCL 1 % TOPICAL CREAM,29416,CDM,0250,RC,87701040472,NDC,,,facility,inpatient,28.4,GR,,56.94,42.71,Aetna Better Health (Formerly Illinicare),Managed Medicaid,,,Service is bundled into APR-DRG payment where appropriate,999999999,other,4.9,46.38,Service is bundled into APR-DRG payment where appropriate,
PRADAXA 110 MG CAPSULE,142709,CDM,0250,RC,597010860,NDC,,,facility,inpatient,60,EA,,1024.01,768.01,Blue Cross Blue Shield,Blue Choice/Options/PPO,,,Service is bundled into MS-DRG payment where appropriate,999999999,other,102.4,665.61,Service is bundled into MS-DRG payment where appropriate,
Aep Threshold Estimation Mlt Frequencies I&R (Inpt),8200241,CDM,92652,CPT,0471,RC,,,facility,inpatient,,,,963,722.25,Blue Cross Blue Shield,Blue Choice/Options/PPO,,,Service is bundled into MS-DRG payment where appropriate,999999999,other,96.3,625.95,Service is bundled into MS-DRG payment where appropriate,
Blood Collection Set 23g X 3/4 in Winged Safety (Kn225307),8903208,CDM,A4215,HCPCS,0270,RC,,,facility,inpatient,,,,8.46,6.35,Aetna,Commercial,,,Service is bundled into MS-DRG payment where appropriate,999999999,other,0.85,23.4,Service is bundled into MS-DRG payment where appropriate,
"Lysosomal and Peroxisomal Storage Disorder Screen, Ref",8381922,CDM,83789,CPT,0301,RC,,,facility,inpatient,,,,24.11,18.08,Aetna,Commercial,,,Service is bundled into MS-DRG payment where appropriate,999999999,other,2.41,15.67,Service is bundled into MS-DRG payment where appropriate,
ENOXAPARIN 80 MG/0.8 ML SUBCUTANEOUS SYRINGE,51764,CDM,J1650,HCPCS,0636,RC,955100801,NDC,facility,inpatient,10,ME,,50.27,37.7,Blue Cross Blue Shield,HMO,,,Service is bundled into MS-DRG payment where appropriate,999999999,other,5.03,32.68,Service is bundled into MS-DRG payment where appropriate,
3-DAY VAGINAL 2 % CREAM,49415,CDM,0250,RC,51672206200,NDC,,,facility,inpatient,21,GR,,66.31,49.73,Blue Cross Blue Shield,HMO,,,Service is bundled into MS-DRG payment where appropriate,999999999,other,6.63,43.1,Service is bundled into MS-DRG payment where appropriate,
Htp3804 B Drainable Pouch Size K 10/Bx,8902212,CDM,A5061,HCPCS,0270,RC,,,facility,inpatient,,,,71.88,53.91,Health Alliance,HMO/PPO,45,62.6,,,percent of total billed charges,7.19,46.72,,
Si Loc (Small/Med.),8670163,CDM,0270,RC,,,,,facility,inpatient,,,,37,27.75,Health Alliance,HMO/PPO,23.16,62.6,,,percent of total billed charges,3.7,26.65,,
"LIDOCAINE 20 MG/ML (2 %)-EPINEPHRINE 1:100,000 INJECTION SOLUTION",46559,CDM,J2004,HCPCS,0250,RC,409318211,NDC,facility,inpatient,1,ML,,50.27,37.7,Aetna,Medicare Advantage,,,Service is bundled into MS-DRG payment where appropriate,999999999,other,5.03,32.68,Service is bundled into MS-DRG payment where appropriate,
